Temperature,Magnetization,Energy
0.01,0.974375,-0.94875
0.522564,0.97,-0.94
1.03513,0.976875,-0.95375
1.54769,0.9725,-0.945
2.06026,0.976875,-0.95375
2.57282,0.97125,-0.9425
3.08538,0.975625,-0.95125
3.59795,0.976875,-0.95375
4.11051,0.975625,-0.95125
4.62308,0.97,-0.94
5.13564,0.974375,-0.94875
5.64821,0.97,-0.94
6.16077,0.974375,-0.94875
6.67333,0.975,-0.95
7.1859,0.97625,-0.9525
7.69846,0.97625,-0.9525
8.21103,0.975,-0.95
8.72359,0.97,-0.94
9.23615,0.978125,-0.95625
9.74872,0.97,-0.94
10.2613,0.973125,-0.94625
10.7738,0.970625,-0.94125
11.2864,0.976875,-0.95375
11.799,0.97875,-0.9575
12.3115,0.97375,-0.9475
12.8241,0.971875,-0.94375
13.3367,0.97,-0.94
13.8492,0.971875,-0.94375
14.3618,0.97625,-0.9525
14.8744,0.976875,-0.95375
15.3869,0.975,-0.95
15.8995,0.971875,-0.94375
16.4121,0.974375,-0.94875
16.9246,0.966875,-0.93375
17.4372,0.97125,-0.9425
17.9497,0.978125,-0.95625
18.4623,0.966875,-0.93375
18.9749,0.97625,-0.9525
19.4874,0.971875,-0.94375
20,0.97375,-0.9475
